Año,ID_MUNICIPIO,Municipio,Concepto,Valor
2021,3,Alamos,36000 Servicios de comunicación social y publicidad,813360
2021,3,Alamos,37000 Servicios de traslado y viáticos,447498
2021,3,Alamos,38000 Servicios oficiales,2134550
2021,3,Alamos,39000 Otros servicios generales,741110
2021,3,Alamos,41000 Transferencias internas y asignaciones al sector público,2908201
2021,3,Alamos,43000 Subsidios y subvenciones,NA
2021,3,Alamos,44000 Ayudas sociales,4930507
2021,3,Alamos,45000 Pensiones y jubilaciones,7275081
2021,3,Alamos,51000 Mobiliario y equipo de administración,204474
2021,3,Alamos,52000 Mobiliario y equipo educacional y recreativo,NA
2021,3,Alamos,54000 Vehículos y equipo de transporte,NA
2021,3,Alamos,55000 Equipo de defensa y seguridad y equipo e instrumental médico y laboratorio,NA
2021,3,Alamos,"56000 Maquinaria, otros equipos y herramientas",20787
2021,3,Alamos,57000 Activos biológicos,NA
2021,3,Alamos,58000 Bienes inmuebles,1850000
2021,3,Alamos,59000 Activos intangibles,NA
2021,3,Alamos,61000 Obra pública en bienes de dominio público,33883349
2021,3,Alamos,62000 Obra pública en bienes propios,NA
2021,3,Alamos,63000 Proyectos productivos y acciones de fomento,NA
2021,3,Alamos,71000 Inversiones para el fomento de actividades productivas,NA
2021,3,Alamos,79000 Provisiones para contingencias y otras erogaciones especiales,NA
2021,3,Alamos,91000 Amortización de la deuda pública,6937044
2021,3,Alamos,92000 Intereses de la deuda pública,NA
2021,3,Alamos,93000 Comisiones de la deuda pública,NA
2021,3,Alamos,94000 Gastos de la deuda pública,NA
2021,3,Alamos,99000 Adeudos de ejercicios fiscales anteriores (ADEFAS),NA
2021,3,Alamos,  Egresos diversos,NA
2021,4,Altar,11000 Remuneraciones al personal,14028600
2021,4,Altar,13000 Remuneraciones adicionales y especiales,1143255
2021,4,Altar,14000 Seguridad social,2702421
2021,4,Altar,15000 Otras prestaciones sociales y económicas,35000
2021,4,Altar,16000 Previsiones,NA
2021,4,Altar,17000 Pago de estímulos a servidores públicos,NA
2021,4,Altar,"21000 Materiales de administración, emisión de documentos y artículos oficiales",323052
2021,4,Altar,22000 Alimentos y utensilios,65657
2021,4,Altar,24000 Materiales y artículos de construcción y de reparación,NA
2021,4,Altar,"25000 Productos químicos, farmacéuticos, laboratorio y materias primas de producción y comercialización",12846
2021,4,Altar,"26000 Combustibles, lubricantes y aditivos",4178806
2021,4,Altar,"27000 Vestuario, blancos, prendas de protección y artículos deportivos",NA
2021,4,Altar,28000 Materiales y suministros para seguridad,NA
2021,4,Altar,"29000 Herramientas, refacciones y accesorios menores",110024
2021,4,Altar,31000 Servicios básicos,6326559
2021,4,Altar,32000 Servicios de arrendamiento,2323944
2021,4,Altar,"33000 Servicios profesionales, científicos, técnicos y otros servicios",270308
2021,4,Altar,"34000 Servicios financieros, bancarios y comerciales",67803
2021,4,Altar,"35000 Servicios de instalación, reparación, mantenimiento y conservación",3373383
2021,4,Altar,36000 Servicios de comunicación social y publicidad,30482
2021,4,Altar,37000 Servicios de traslado y viáticos,200735
2021,4,Altar,38000 Servicios oficiales,244785
2021,4,Altar,39000 Otros servicios generales,533442
2021,4,Altar,41000 Transferencias internas y asignaciones al sector público,191699
2021,4,Altar,43000 Subsidios y subvenciones,NA
2021,4,Altar,44000 Ayudas sociales,505518
2021,4,Altar,45000 Pensiones y jubilaciones,NA
2021,4,Altar,51000 Mobiliario y equipo de administración,35818
2021,4,Altar,52000 Mobiliario y equipo educacional y recreativo,NA
2021,4,Altar,54000 Vehículos y equipo de transporte,NA
2021,4,Altar,55000 Equipo de defensa y seguridad y equipo e instrumental médico y laboratorio,NA
2021,4,Altar,"56000 Maquinaria, otros equipos y herramientas",NA
2021,4,Altar,57000 Activos biológicos,NA
2021,4,Altar,58000 Bienes inmuebles,NA
2021,4,Altar,59000 Activos intangibles,NA
2021,4,Altar,61000 Obra pública en bienes de dominio público,6992180
2021,4,Altar,62000 Obra pública en bienes propios,666059
2021,4,Altar,63000 Proyectos productivos y acciones de fomento,NA
2021,4,Altar,71000 Inversiones para el fomento de actividades productivas,NA
2021,4,Altar,79000 Provisiones para contingencias y otras erogaciones especiales,NA
2021,4,Altar,91000 Amortización de la deuda pública,NA
2021,4,Altar,92000 Intereses de la deuda pública,NA
2021,4,Altar,93000 Comisiones de la deuda pública,NA
2021,4,Altar,94000 Gastos de la deuda pública,NA
2021,4,Altar,99000 Adeudos de ejercicios fiscales anteriores (ADEFAS),NA
2021,4,Altar,  Egresos diversos,NA
2021,5,Arivechi,11000 Remuneraciones al personal,4479639
2021,5,Arivechi,13000 Remuneraciones adicionales y especiales,751647
2021,5,Arivechi,14000 Seguridad social,677843
2021,5,Arivechi,15000 Otras prestaciones sociales y económicas,8100
2021,5,Arivechi,16000 Previsiones,NA
2021,5,Arivechi,17000 Pago de estímulos a servidores públicos,92663
2021,5,Arivechi,"21000 Materiales de administración, emisión de documentos y artículos oficiales",139827
2021,5,Arivechi,22000 Alimentos y utensilios,23532
2021,5,Arivechi,24000 Materiales y artículos de construcción y de reparación,186309
2021,5,Arivechi,"25000 Productos químicos, farmacéuticos, laboratorio y materias primas de producción y comercialización",NA
2021,5,Arivechi,"26000 Combustibles, lubricantes y aditivos",874299
2021,5,Arivechi,"27000 Vestuario, blancos, prendas de protección y artículos deportivos",NA
2021,5,Arivechi,28000 Materiales y suministros para seguridad,NA
2021,5,Arivechi,"29000 Herramientas, refacciones y accesorios menores",NA
2021,5,Arivechi,31000 Servicios básicos,823160
2021,5,Arivechi,32000 Servicios de arrendamiento,319192
2021,5,Arivechi,"33000 Servicios profesionales, científicos, técnicos y otros servicios",398519
2021,5,Arivechi,"34000 Servicios financieros, bancarios y comerciales",65188
2021,5,Arivechi,"35000 Servicios de instalación, reparación, mantenimiento y conservación",1624817
2021,5,Arivechi,36000 Servicios de comunicación social y publicidad,NA
2021,5,Arivechi,37000 Servicios de traslado y viáticos,137400
2021,5,Arivechi,38000 Servicios oficiales,156381
2021,5,Arivechi,39000 Otros servicios generales,160897
2021,5,Arivechi,41000 Transferencias internas y asignaciones al sector público,42413
2021,5,Arivechi,43000 Subsidios y subvenciones,NA
2021,5,Arivechi,44000 Ayudas sociales,321565
2021,5,Arivechi,45000 Pensiones y jubilaciones,91375
2021,5,Arivechi,51000 Mobiliario y equipo de administración,NA
2021,5,Arivechi,52000 Mobiliario y equipo educacional y recreativo,NA
2021,5,Arivechi,54000 Vehículos y equipo de transporte,NA
2021,5,Arivechi,55000 Equipo de defensa y seguridad y equipo e instrumental médico y laboratorio,NA
2021,5,Arivechi,"56000 Maquinaria, otros equipos y herramientas",NA
2021,5,Arivechi,57000 Activos biológicos,NA
2021,5,Arivechi,58000 Bienes inmuebles,NA
2021,5,Arivechi,59000 Activos intangibles,NA
2021,5,Arivechi,61000 Obra pública en bienes de dominio público,1891500
2021,5,Arivechi,62000 Obra pública en bienes propios,NA
2021,5,Arivechi,63000 Proyectos productivos y acciones de fomento,NA
2021,5,Arivechi,71000 Inversiones para el fomento de actividades productivas,NA
2021,5,Arivechi,79000 Provisiones para contingencias y otras erogaciones especiales,NA
2021,5,Arivechi,91000 Amortización de la deuda pública,NA
2021,5,Arivechi,92000 Intereses de la deuda pública,NA
2021,5,Arivechi,93000 Comisiones de la deuda pública,NA
2021,5,Arivechi,94000 Gastos de la deuda pública,NA
2021,5,Arivechi,99000 Adeudos de ejercicios fiscales anteriores (ADEFAS),NA
2021,5,Arivechi,  Egresos diversos,NA
2021,6,Arizpe,11000 Remuneraciones al personal,6590217
2021,6,Arizpe,13000 Remuneraciones adicionales y especiales,686869
2021,6,Arizpe,14000 Seguridad social,2542024
2021,6,Arizpe,15000 Otras prestaciones sociales y económicas,99849
2021,6,Arizpe,16000 Previsiones,NA
2021,6,Arizpe,17000 Pago de estímulos a servidores públicos,1169927
2021,6,Arizpe,"21000 Materiales de administración, emisión de documentos y artículos oficiales",166953
2021,6,Arizpe,22000 Alimentos y utensilios,188526
2021,6,Arizpe,24000 Materiales y artículos de construcción y de reparación,223177
2021,6,Arizpe,"25000 Productos químicos, farmacéuticos, laboratorio y materias primas de producción y comercialización",43053
2021,6,Arizpe,"26000 Combustibles, lubricantes y aditivos",1955585
2021,6,Arizpe,"27000 Vestuario, blancos, prendas de protección y artículos deportivos",1891
2021,6,Arizpe,28000 Materiales y suministros para seguridad,19087
2021,6,Arizpe,"29000 Herramientas, refacciones y accesorios menores",124838
2021,6,Arizpe,31000 Servicios básicos,2713996
2021,6,Arizpe,32000 Servicios de arrendamiento,43188
2021,6,Arizpe,"33000 Servicios profesionales, científicos, técnicos y otros servicios",536157
2021,6,Arizpe,"34000 Servicios financieros, bancarios y comerciales",65063
2021,6,Arizpe,"35000 Servicios de instalación, reparación, mantenimiento y conservación",1721136
2021,6,Arizpe,36000 Servicios de comunicación social y publicidad,34800
2021,6,Arizpe,37000 Servicios de traslado y viáticos,121147
2021,6,Arizpe,38000 Servicios oficiales,472624
2021,6,Arizpe,39000 Otros servicios generales,218193
2021,6,Arizpe,41000 Transferencias internas y asignaciones al sector público,594886
2021,6,Arizpe,43000 Subsidios y subvenciones,NA
2021,6,Arizpe,44000 Ayudas sociales,596054
2021,6,Arizpe,45000 Pensiones y jubilaciones,NA
2021,6,Arizpe,51000 Mobiliario y equipo de administración,NA
2021,6,Arizpe,52000 Mobiliario y equipo educacional y recreativo,NA
2021,6,Arizpe,54000 Vehículos y equipo de transporte,NA
2021,6,Arizpe,55000 Equipo de defensa y seguridad y equipo e instrumental médico y laboratorio,NA
2021,6,Arizpe,"56000 Maquinaria, otros equipos y herramientas",207639
2021,6,Arizpe,57000 Activos biológicos,NA
2021,6,Arizpe,58000 Bienes inmuebles,NA
2021,6,Arizpe,59000 Activos intangibles,NA
2021,6,Arizpe,61000 Obra pública en bienes de dominio público,2770097
2021,6,Arizpe,62000 Obra pública en bienes propios,8981141
2021,6,Arizpe,63000 Proyectos productivos y acciones de fomento,NA
2021,6,Arizpe,71000 Inversiones para el fomento de actividades productivas,NA
2021,6,Arizpe,79000 Provisiones para contingencias y otras erogaciones especiales,NA
2021,6,Arizpe,91000 Amortización de la deuda pública,NA
2021,6,Arizpe,92000 Intereses de la deuda pública,61947
2021,6,Arizpe,93000 Comisiones de la deuda pública,NA
2021,6,Arizpe,94000 Gastos de la deuda pública,NA
2021,6,Arizpe,99000 Adeudos de ejercicios fiscales anteriores (ADEFAS),NA
2021,6,Arizpe,  Egresos diversos,NA
2021,7,Atil,11000 Remuneraciones al personal,2864872
2021,7,Atil,13000 Remuneraciones adicionales y especiales,149815
2021,7,Atil,14000 Seguridad social,1092012
2021,7,Atil,15000 Otras prestaciones sociales y económicas,NA
2021,7,Atil,16000 Previsiones,NA
2021,7,Atil,17000 Pago de estímulos a servidores públicos,27500
2021,7,Atil,"21000 Materiales de administración, emisión de documentos y artículos oficiales",229612
2021,7,Atil,22000 Alimentos y utensilios,10343
2021,7,Atil,24000 Materiales y artículos de construcción y de reparación,41299
2021,7,Atil,"25000 Productos químicos, farmacéuticos, laboratorio y materias primas de producción y comercialización",NA
2021,7,Atil,"26000 Combustibles, lubricantes y aditivos",1141145
2021,7,Atil,"27000 Vestuario, blancos, prendas de protección y artículos deportivos",11709
2021,7,Atil,28000 Materiales y suministros para seguridad,NA
2021,7,Atil,"29000 Herramientas, refacciones y accesorios menores",10743
2021,7,Atil,31000 Servicios básicos,510959
2021,7,Atil,32000 Servicios de arrendamiento,24000
2021,7,Atil,"33000 Servicios profesionales, científicos, técnicos y otros servicios",88477
2021,7,Atil,"34000 Servicios financieros, bancarios y comerciales",24127
2021,7,Atil,"35000 Servicios de instalación, reparación, mantenimiento y conservación",3175836
2021,7,Atil,36000 Servicios de comunicación social y publicidad,NA
2021,7,Atil,37000 Servicios de traslado y viáticos,57825
2021,7,Atil,38000 Servicios oficiales,172260
2021,7,Atil,39000 Otros servicios generales,51415
2021,7,Atil,41000 Transferencias internas y asignaciones al sector público,888932
2021,7,Atil,43000 Subsidios y subvenciones,NA
2021,7,Atil,44000 Ayudas sociales,90837
2021,7,Atil,45000 Pensiones y jubilaciones,NA
2021,7,Atil,51000 Mobiliario y equipo de administración,13755
2021,7,Atil,52000 Mobiliario y equipo educacional y recreativo,NA
2021,7,Atil,54000 Vehículos y equipo de transporte,NA
2021,7,Atil,55000 Equipo de defensa y seguridad y equipo e instrumental médico y laboratorio,NA
2021,7,Atil,"56000 Maquinaria, otros equipos y herramientas",56000
2021,7,Atil,57000 Activos biológicos,NA
2021,7,Atil,58000 Bienes inmuebles,NA
2021,7,Atil,59000 Activos intangibles,NA
2021,7,Atil,61000 Obra pública en bienes de dominio público,1679563
2021,7,Atil,62000 Obra pública en bienes propios,834901
2021,7,Atil,63000 Proyectos productivos y acciones de fomento,NA
2021,7,Atil,71000 Inversiones para el fomento de actividades productivas,NA
2021,7,Atil,79000 Provisiones para contingencias y otras erogaciones especiales,NA
2021,7,Atil,91000 Amortización de la deuda pública,NA
2021,7,Atil,92000 Intereses de la deuda pública,NA
2021,7,Atil,93000 Comisiones de la deuda pública,NA
2021,7,Atil,94000 Gastos de la deuda pública,NA
2021,7,Atil,99000 Adeudos de ejercicios fiscales anteriores (ADEFAS),NA
2021,7,Atil,  Egresos diversos,NA
2021,8,Bacadéhuachi,11000 Remuneraciones al personal,5242780
2021,8,Bacadéhuachi,13000 Remuneraciones adicionales y especiales,352329
2021,8,Bacadéhuachi,14000 Seguridad social,329559
2021,8,Bacadéhuachi,15000 Otras prestaciones sociales y económicas,NA
2021,8,Bacadéhuachi,16000 Previsiones,NA
2021,8,Bacadéhuachi,17000 Pago de estímulos a servidores públicos,NA
2021,8,Bacadéhuachi,"21000 Materiales de administración, emisión de documentos y artículos oficiales",57340
2021,8,Bacadéhuachi,22000 Alimentos y utensilios,297543
2021,8,Bacadéhuachi,24000 Materiales y artículos de construcción y de reparación,11721
2021,8,Bacadéhuachi,"25000 Productos químicos, farmacéuticos, laboratorio y materias primas de producción y comercialización",NA
2021,8,Bacadéhuachi,"26000 Combustibles, lubricantes y aditivos",1703095
2021,8,Bacadéhuachi,"27000 Vestuario, blancos, prendas de protección y artículos deportivos",43240
2021,8,Bacadéhuachi,28000 Materiales y suministros para seguridad,NA
2021,8,Bacadéhuachi,"29000 Herramientas, refacciones y accesorios menores",459192
2021,8,Bacadéhuachi,31000 Servicios básicos,913152
2021,8,Bacadéhuachi,32000 Servicios de arrendamiento,331857
2021,8,Bacadéhuachi,"33000 Servicios profesionales, científicos, técnicos y otros servicios",NA
2021,8,Bacadéhuachi,"34000 Servicios financieros, bancarios y comerciales",96743
2021,8,Bacadéhuachi,"35000 Servicios de instalación, reparación, mantenimiento y conservación",130844
2021,8,Bacadéhuachi,36000 Servicios de comunicación social y publicidad,45300
2021,8,Bacadéhuachi,37000 Servicios de traslado y viáticos,312518
2021,8,Bacadéhuachi,38000 Servicios oficiales,625176
2021,8,Bacadéhuachi,39000 Otros servicios generales,NA
2021,8,Bacadéhuachi,41000 Transferencias internas y asignaciones al sector público,271280
2021,8,Bacadéhuachi,43000 Subsidios y subvenciones,NA
2021,8,Bacadéhuachi,44000 Ayudas sociales,648086
2021,8,Bacadéhuachi,45000 Pensiones y jubilaciones,125200
2021,8,Bacadéhuachi,51000 Mobiliario y equipo de administración,NA
2021,8,Bacadéhuachi,52000 Mobiliario y equipo educacional y recreativo,NA
2021,8,Bacadéhuachi,54000 Vehículos y equipo de transporte,NA
2021,8,Bacadéhuachi,55000 Equipo de defensa y seguridad y equipo e instrumental médico y laboratorio,NA
2021,8,Bacadéhuachi,"56000 Maquinaria, otros equipos y herramientas",NA
2021,8,Bacadéhuachi,57000 Activos biológicos,NA
2021,8,Bacadéhuachi,58000 Bienes inmuebles,NA
2021,8,Bacadéhuachi,59000 Activos intangibles,NA
2021,8,Bacadéhuachi,61000 Obra pública en bienes de dominio público,1339120
2021,8,Bacadéhuachi,62000 Obra pública en bienes propios,NA
2021,8,Bacadéhuachi,63000 Proyectos productivos y acciones de fomento,NA
2021,8,Bacadéhuachi,71000 Inversiones para el fomento de actividades productivas,NA
2021,8,Bacadéhuachi,79000 Provisiones para contingencias y otras erogaciones especiales,NA
2021,8,Bacadéhuachi,91000 Amortización de la deuda pública,NA
2021,8,Bacadéhuachi,92000 Intereses de la deuda pública,NA
2021,8,Bacadéhuachi,93000 Comisiones de la deuda pública,NA
2021,8,Bacadéhuachi,94000 Gastos de la deuda pública,NA
2021,8,Bacadéhuachi,99000 Adeudos de ejercicios fiscales anteriores (ADEFAS),NA
2021,8,Bacadéhuachi,  Egresos diversos,NA
2021,9,Bacanora,11000 Remuneraciones al personal,5120439
2021,9,Bacanora,13000 Remuneraciones adicionales y especiales,629949
2021,9,Bacanora,14000 Seguridad social,983951
2021,9,Bacanora,15000 Otras prestaciones sociales y económicas,NA
2021,9,Bacanora,16000 Previsiones,NA
2021,9,Bacanora,17000 Pago de estímulos a servidores públicos,8467
2021,9,Bacanora,"21000 Materiales de administración, emisión de documentos y artículos oficiales",126755
2021,9,Bacanora,22000 Alimentos y utensilios,109890
2021,9,Bacanora,24000 Materiales y artículos de construcción y de reparación,42318
2021,9,Bacanora,"25000 Productos químicos, farmacéuticos, laboratorio y materias primas de producción y comercialización",3860
2021,9,Bacanora,"26000 Combustibles, lubricantes y aditivos",1011784
2021,9,Bacanora,"27000 Vestuario, blancos, prendas de protección y artículos deportivos",5247
2021,9,Bacanora,28000 Materiales y suministros para seguridad,NA
2021,9,Bacanora,"29000 Herramientas, refacciones y accesorios menores",54388
2021,9,Bacanora,31000 Servicios básicos,776113
2021,9,Bacanora,32000 Servicios de arrendamiento,181190
2021,9,Bacanora,"33000 Servicios profesionales, científicos, técnicos y otros servicios",499107
2021,9,Bacanora,"34000 Servicios financieros, bancarios y comerciales",76551
2021,9,Bacanora,"35000 Servicios de instalación, reparación, mantenimiento y conservación",925703
2021,9,Bacanora,36000 Servicios de comunicación social y publicidad,33640
2021,9,Bacanora,37000 Servicios de traslado y viáticos,51890
2021,9,Bacanora,38000 Servicios oficiales,389334
2021,9,Bacanora,39000 Otros servicios generales,38696
2021,9,Bacanora,41000 Transferencias internas y asignaciones al sector público,190798
2021,9,Bacanora,43000 Subsidios y subvenciones,NA
2021,9,Bacanora,44000 Ayudas sociales,729159
2021,9,Bacanora,45000 Pensiones y jubilaciones,NA
2021,9,Bacanora,51000 Mobiliario y equipo de administración,NA
2021,9,Bacanora,52000 Mobiliario y equipo educacional y recreativo,NA
2021,9,Bacanora,54000 Vehículos y equipo de transporte,NA
2021,9,Bacanora,55000 Equipo de defensa y seguridad y equipo e instrumental médico y laboratorio,NA
2021,9,Bacanora,"56000 Maquinaria, otros equipos y herramientas",NA
2021,9,Bacanora,57000 Activos biológicos,NA
2021,9,Bacanora,58000 Bienes inmuebles,NA
2021,9,Bacanora,59000 Activos intangibles,NA
2021,9,Bacanora,61000 Obra pública en bienes de dominio público,1235498
2021,9,Bacanora,62000 Obra pública en bienes propios,2000984
2021,9,Bacanora,63000 Proyectos productivos y acciones de fomento,NA
2021,9,Bacanora,71000 Inversiones para el fomento de actividades productivas,NA
2021,9,Bacanora,79000 Provisiones para contingencias y otras erogaciones especiales,NA
2021,9,Bacanora,91000 Amortización de la deuda pública,38936
2021,9,Bacanora,92000 Intereses de la deuda pública,NA
2021,9,Bacanora,93000 Comisiones de la deuda pública,NA
2021,9,Bacanora,94000 Gastos de la deuda pública,NA
2021,9,Bacanora,99000 Adeudos de ejercicios fiscales anteriores (ADEFAS),NA
2021,9,Bacanora,  Egresos diversos,NA
2021,10,Bacerac,11000 Remuneraciones al personal,4554142
2021,10,Bacerac,13000 Remuneraciones adicionales y especiales,252433
2021,10,Bacerac,14000 Seguridad social,1309634
2021,10,Bacerac,15000 Otras prestaciones sociales y económicas,NA
2021,10,Bacerac,16000 Previsiones,NA
2021,10,Bacerac,17000 Pago de estímulos a servidores públicos,NA
2021,10,Bacerac,"21000 Materiales de administración, emisión de documentos y artículos oficiales",128366
2021,10,Bacerac,22000 Alimentos y utensilios,NA
2021,10,Bacerac,24000 Materiales y artículos de construcción y de reparación,829074
2021,10,Bacerac,"25000 Productos químicos, farmacéuticos, laboratorio y materias primas de producción y comercialización",NA
