Año,ent,entidad,indicador,tipo,porcentaje,miles_de_personas
2016,5,Coahuila,Población vulnerable por ingresos,Pobreza,16,473495
2016,5,Coahuila,Población no pobre y no vulnerable,Pobreza,36.4,1075978
2016,5,Coahuila,Rezago educativo,Carencia social,13.7,406419
2016,5,Coahuila,Carencia por acceso a los servicios de salud,Carencia social,12.8,378375
2016,5,Coahuila,Carencia por acceso a la seguridad social,Carencia social,27.4,810259
2016,5,Coahuila,Carencia por calidad y espacios de la vivienda,Carencia social,5.2,152891
2016,5,Coahuila,Carencia por acceso a los servicios básicos en la vivienda,Carencia social,5.5,162108
2016,5,Coahuila,Carencia por acceso a la alimentación nutritiva y de calidad,Carencia social,16.7,493443
2016,5,Coahuila,Población con al menos una carencia social,Privación social,47.6,1406509
2016,5,Coahuila,Población con al menos tres carencias sociales,Privación social,7.8,230253
2016,5,Coahuila,Población con ingreso inferior a la línea de pobreza extrema por ingresos,Bienestar económico,9.6,284127
2016,5,Coahuila,Población con ingreso inferior a la línea de pobreza por ingresos,Bienestar económico,43.1,1273257
2016,6,Colima,Población en situación de pobreza,Pobreza,32.5,227531
2016,6,Colima,Población en situación de pobreza moderada,Pobreza,30.4,212481
2016,6,Colima,Población en situación de pobreza extrema,Pobreza,2.2,15050
2016,6,Colima,Población vulnerable por carencias sociales,Pobreza,30.1,210761
2016,6,Colima,Población vulnerable por ingresos,Pobreza,6.7,47100
2016,6,Colima,Población no pobre y no vulnerable,Pobreza,30.6,213989
2016,6,Colima,Rezago educativo,Carencia social,17,118934
2016,6,Colima,Carencia por acceso a los servicios de salud,Carencia social,11.9,82991
2016,6,Colima,Carencia por acceso a la seguridad social,Carencia social,44.8,313544
2016,6,Colima,Carencia por calidad y espacios de la vivienda,Carencia social,11.4,79575
2016,6,Colima,Carencia por acceso a los servicios básicos en la vivienda,Carencia social,8.6,60268
2016,6,Colima,Carencia por acceso a la alimentación nutritiva y de calidad,Carencia social,22.2,155124
2016,6,Colima,Población con al menos una carencia social,Privación social,62.7,438292
2016,6,Colima,Población con al menos tres carencias sociales,Privación social,13.6,95010
2016,6,Colima,Población con ingreso inferior a la línea de pobreza extrema por ingresos,Bienestar económico,6.2,43698
2016,6,Colima,Población con ingreso inferior a la línea de pobreza por ingresos,Bienestar económico,39.3,274631
2016,7,Chiapas,Población en situación de pobreza,Pobreza,77.9,4036725
2016,7,Chiapas,Población en situación de pobreza moderada,Pobreza,48.3,2501293
2016,7,Chiapas,Población en situación de pobreza extrema,Pobreza,29.6,1535432
2016,7,Chiapas,Población vulnerable por carencias sociales,Pobreza,11.8,610014
2016,7,Chiapas,Población vulnerable por ingresos,Pobreza,3.6,186980
2016,7,Chiapas,Población no pobre y no vulnerable,Pobreza,6.7,347364
2016,7,Chiapas,Rezago educativo,Carencia social,30.2,1563425
2016,7,Chiapas,Carencia por acceso a los servicios de salud,Carencia social,15,779117
2016,7,Chiapas,Carencia por acceso a la seguridad social,Carencia social,81.9,4243747
2016,7,Chiapas,Carencia por calidad y espacios de la vivienda,Carencia social,24.5,1270568
2016,7,Chiapas,Carencia por acceso a los servicios básicos en la vivienda,Carencia social,52.3,2709770
2016,7,Chiapas,Carencia por acceso a la alimentación nutritiva y de calidad,Carencia social,23.5,1217450
2016,7,Chiapas,Población con al menos una carencia social,Privación social,89.7,4646739
2016,7,Chiapas,Población con al menos tres carencias sociales,Privación social,43.5,2252704
2016,7,Chiapas,Población con ingreso inferior a la línea de pobreza extrema por ingresos,Bienestar económico,49.5,2565639
2016,7,Chiapas,Población con ingreso inferior a la línea de pobreza por ingresos,Bienestar económico,81.5,4223705
2016,8,Chihuahua,Población en situación de pobreza,Pobreza,30.7,1103977
2016,8,Chihuahua,Población en situación de pobreza moderada,Pobreza,27.4,985033
2016,8,Chihuahua,Población en situación de pobreza extrema,Pobreza,3.3,118944
2016,8,Chihuahua,Población vulnerable por carencias sociales,Pobreza,24.7,887616
2016,8,Chihuahua,Población vulnerable por ingresos,Pobreza,12.8,460723
2016,8,Chihuahua,Población no pobre y no vulnerable,Pobreza,31.8,1143508
2016,8,Chihuahua,Rezago educativo,Carencia social,17.1,615334
2016,8,Chihuahua,Carencia por acceso a los servicios de salud,Carencia social,12.2,440000
2016,8,Chihuahua,Carencia por acceso a la seguridad social,Carencia social,37.4,1344773
2016,8,Chihuahua,Carencia por calidad y espacios de la vivienda,Carencia social,7.1,256171
2016,8,Chihuahua,Carencia por acceso a los servicios básicos en la vivienda,Carencia social,5.4,192481
2016,8,Chihuahua,Carencia por acceso a la alimentación nutritiva y de calidad,Carencia social,18.7,670636
2016,8,Chihuahua,Población con al menos una carencia social,Privación social,55.4,1991593
2016,8,Chihuahua,Población con al menos tres carencias sociales,Privación social,10.1,364441
2016,8,Chihuahua,Población con ingreso inferior a la línea de pobreza extrema por ingresos,Bienestar económico,10,360116
2016,8,Chihuahua,Población con ingreso inferior a la línea de pobreza por ingresos,Bienestar económico,43.5,1564700
2016,9,Ciudad de México,Población en situación de pobreza,Pobreza,26.6,2424660
2016,9,Ciudad de México,Población en situación de pobreza moderada,Pobreza,24.9,2269434
2016,9,Ciudad de México,Población en situación de pobreza extrema,Pobreza,1.7,155226
2016,9,Ciudad de México,Población vulnerable por carencias sociales,Pobreza,27.7,2524803
2016,9,Ciudad de México,Población vulnerable por ingresos,Pobreza,7.4,675258
2016,9,Ciudad de México,Población no pobre y no vulnerable,Pobreza,38.3,3490592
2016,9,Ciudad de México,Rezago educativo,Carencia social,8.9,811313
2016,9,Ciudad de México,Carencia por acceso a los servicios de salud,Carencia social,19.6,1789755
2016,9,Ciudad de México,Carencia por acceso a la seguridad social,Carencia social,43.5,3969648
2016,9,Ciudad de México,Carencia por calidad y espacios de la vivienda,Carencia social,5.9,538480
2016,9,Ciudad de México,Carencia por acceso a los servicios básicos en la vivienda,Carencia social,2.1,190853
2016,9,Ciudad de México,Carencia por acceso a la alimentación nutritiva y de calidad,Carencia social,13.7,1250974
2016,9,Ciudad de México,Población con al menos una carencia social,Privación social,54.3,4949463
2016,9,Ciudad de México,Población con al menos tres carencias sociales,Privación social,7.7,705438
2016,9,Ciudad de México,Población con ingreso inferior a la línea de pobreza extrema por ingresos,Bienestar económico,5.6,509575
2016,9,Ciudad de México,Población con ingreso inferior a la línea de pobreza por ingresos,Bienestar económico,34,3099918
2016,10,Durango,Población en situación de pobreza,Pobreza,37.2,650974
2016,10,Durango,Población en situación de pobreza moderada,Pobreza,34.5,603462
2016,10,Durango,Población en situación de pobreza extrema,Pobreza,2.7,47512
2016,10,Durango,Población vulnerable por carencias sociales,Pobreza,26.2,458884
2016,10,Durango,Población vulnerable por ingresos,Pobreza,10.8,189154
2016,10,Durango,Población no pobre y no vulnerable,Pobreza,25.8,451242
2016,10,Durango,Rezago educativo,Carencia social,16,280169
2016,10,Durango,Carencia por acceso a los servicios de salud,Carencia social,14.1,246654
2016,10,Durango,Carencia por acceso a la seguridad social,Carencia social,46.5,814490
2016,10,Durango,Carencia por calidad y espacios de la vivienda,Carencia social,7,122820
2016,10,Durango,Carencia por acceso a los servicios básicos en la vivienda,Carencia social,8.1,141606
2016,10,Durango,Carencia por acceso a la alimentación nutritiva y de calidad,Carencia social,18.8,328645
2016,10,Durango,Población con al menos una carencia social,Privación social,63.4,1109858
2016,10,Durango,Población con al menos tres carencias sociales,Privación social,11.1,194451
2016,10,Durango,Población con ingreso inferior a la línea de pobreza extrema por ingresos,Bienestar económico,11.9,208363
2016,10,Durango,Población con ingreso inferior a la línea de pobreza por ingresos,Bienestar económico,48,840128
2016,11,Guanajuato,Población en situación de pobreza,Pobreza,39.4,2338967
2016,11,Guanajuato,Población en situación de pobreza moderada,Pobreza,35.7,2120740
2016,11,Guanajuato,Población en situación de pobreza extrema,Pobreza,3.7,218227
2016,11,Guanajuato,Población vulnerable por carencias sociales,Pobreza,31.4,1863797
2016,11,Guanajuato,Población vulnerable por ingresos,Pobreza,7.6,448936
2016,11,Guanajuato,Población no pobre y no vulnerable,Pobreza,21.7,1292142
2016,11,Guanajuato,Rezago educativo,Carencia social,21.7,1290324
2016,11,Guanajuato,Carencia por acceso a los servicios de salud,Carencia social,13.4,799196
2016,11,Guanajuato,Carencia por acceso a la seguridad social,Carencia social,53.2,3160800
2016,11,Guanajuato,Carencia por calidad y espacios de la vivienda,Carencia social,7.7,459732
2016,11,Guanajuato,Carencia por acceso a los servicios básicos en la vivienda,Carencia social,13.5,801217
2016,11,Guanajuato,Carencia por acceso a la alimentación nutritiva y de calidad,Carencia social,21.1,1252709
2016,11,Guanajuato,Población con al menos una carencia social,Privación social,70.7,4202764
2016,11,Guanajuato,Población con al menos tres carencias sociales,Privación social,15.6,928647
2016,11,Guanajuato,Población con ingreso inferior a la línea de pobreza extrema por ingresos,Bienestar económico,10.9,648279
2016,11,Guanajuato,Población con ingreso inferior a la línea de pobreza por ingresos,Bienestar económico,46.9,2787903
2016,12,Guerrero,Población en situación de pobreza,Pobreza,66.8,2318349
2016,12,Guerrero,Población en situación de pobreza moderada,Pobreza,43.6,1512815
2016,12,Guerrero,Población en situación de pobreza extrema,Pobreza,23.2,805534
2016,12,Guerrero,Población vulnerable por carencias sociales,Pobreza,20.6,716118
2016,12,Guerrero,Población vulnerable por ingresos,Pobreza,3.4,116285
2016,12,Guerrero,Población no pobre y no vulnerable,Pobreza,9.2,318368
2016,12,Guerrero,Rezago educativo,Carencia social,26,902361
2016,12,Guerrero,Carencia por acceso a los servicios de salud,Carencia social,13.3,462160
2016,12,Guerrero,Carencia por acceso a la seguridad social,Carencia social,75.3,2611189
2016,12,Guerrero,Carencia por calidad y espacios de la vivienda,Carencia social,31.7,1097977
2016,12,Guerrero,Carencia por acceso a los servicios básicos en la vivienda,Carencia social,50.2,1741985
2016,12,Guerrero,Carencia por acceso a la alimentación nutritiva y de calidad,Carencia social,30.4,1053835
2016,12,Guerrero,Población con al menos una carencia social,Privación social,87.5,3034467
2016,12,Guerrero,Población con al menos tres carencias sociales,Privación social,43.9,1521811
2016,12,Guerrero,Población con ingreso inferior a la línea de pobreza extrema por ingresos,Bienestar económico,33.8,1172157
2016,12,Guerrero,Población con ingreso inferior a la línea de pobreza por ingresos,Bienestar económico,70.2,2434634
2016,13,Hidalgo,Población en situación de pobreza,Pobreza,56.9,1673998
2016,13,Hidalgo,Población en situación de pobreza moderada,Pobreza,47.4,1394162
2016,13,Hidalgo,Población en situación de pobreza extrema,Pobreza,9.5,279836
2016,13,Hidalgo,Población vulnerable por carencias sociales,Pobreza,24,707187
2016,13,Hidalgo,Población vulnerable por ingresos,Pobreza,5.6,165693
2016,13,Hidalgo,Población no pobre y no vulnerable,Pobreza,13.4,395006
2016,13,Hidalgo,Rezago educativo,Carencia social,19.9,586036
2016,13,Hidalgo,Carencia por acceso a los servicios de salud,Carencia social,14.4,424588
2016,13,Hidalgo,Carencia por acceso a la seguridad social,Carencia social,72,2118814
2016,13,Hidalgo,Carencia por calidad y espacios de la vivienda,Carencia social,11.2,330198
2016,13,Hidalgo,Carencia por acceso a los servicios básicos en la vivienda,Carencia social,28,825150
2016,13,Hidalgo,Carencia por acceso a la alimentación nutritiva y de calidad,Carencia social,27.7,813709
2016,13,Hidalgo,Población con al menos una carencia social,Privación social,80.9,2381185
2016,13,Hidalgo,Población con al menos tres carencias sociales,Privación social,25.9,762096
2016,13,Hidalgo,Población con ingreso inferior a la línea de pobreza extrema por ingresos,Bienestar económico,19.3,566616
2016,13,Hidalgo,Población con ingreso inferior a la línea de pobreza por ingresos,Bienestar económico,62.5,1839691
2016,14,Jalisco,Población en situación de pobreza,Pobreza,30.5,2426450
2016,14,Jalisco,Población en situación de pobreza moderada,Pobreza,29,2309126
2016,14,Jalisco,Población en situación de pobreza extrema,Pobreza,1.5,117324
2016,14,Jalisco,Población vulnerable por carencias sociales,Pobreza,31.6,2518187
2016,14,Jalisco,Población vulnerable por ingresos,Pobreza,8,634072
2016,14,Jalisco,Población no pobre y no vulnerable,Pobreza,29.9,2385116
2016,14,Jalisco,Rezago educativo,Carencia social,17.9,1428029
2016,14,Jalisco,Carencia por acceso a los servicios de salud,Carencia social,17.6,1400241
2016,14,Jalisco,Carencia por acceso a la seguridad social,Carencia social,47,3739142
2016,14,Jalisco,Carencia por calidad y espacios de la vivienda,Carencia social,6.1,482560
2016,14,Jalisco,Carencia por acceso a los servicios básicos en la vivienda,Carencia social,4.9,386452
2016,14,Jalisco,Carencia por acceso a la alimentación nutritiva y de calidad,Carencia social,16,1270534
2016,14,Jalisco,Población con al menos una carencia social,Privación social,62.1,4944637
2016,14,Jalisco,Población con al menos tres carencias sociales,Privación social,10.6,842943
2016,14,Jalisco,Población con ingreso inferior a la línea de pobreza extrema por ingresos,Bienestar económico,5.5,434264
2016,14,Jalisco,Población con ingreso inferior a la línea de pobreza por ingresos,Bienestar económico,38.4,3060522
2016,15,México,Población en situación de pobreza,Pobreza,46.6,7695776
2016,15,México,Población en situación de pobreza moderada,Pobreza,41,6759246
2016,15,México,Población en situación de pobreza extrema,Pobreza,5.7,936530
2016,15,México,Población vulnerable por carencias sociales,Pobreza,20.8,3439049
2016,15,México,Población vulnerable por ingresos,Pobreza,10,1654412
2016,15,México,Población no pobre y no vulnerable,Pobreza,22.5,3709234
2016,15,México,Rezago educativo,Carencia social,14.8,2435348
2016,15,México,Carencia por acceso a los servicios de salud,Carencia social,15.5,2560758
2016,15,México,Carencia por acceso a la seguridad social,Carencia social,53,8740060
2016,15,México,Carencia por calidad y espacios de la vivienda,Carencia social,12.6,2086294
2016,15,México,Carencia por acceso a los servicios básicos en la vivienda,Carencia social,11.7,1930637
2016,15,México,Carencia por acceso a la alimentación nutritiva y de calidad,Carencia social,24.2,3989607
2016,15,México,Población con al menos una carencia social,Privación social,67.5,11134825
2016,15,México,Población con al menos tres carencias sociales,Privación social,16.6,2743797
2016,15,México,Población con ingreso inferior a la línea de pobreza extrema por ingresos,Bienestar económico,13.8,2270780
2016,15,México,Población con ingreso inferior a la línea de pobreza por ingresos,Bienestar económico,56.7,9350188
2016,16,Michoacán,Población en situación de pobreza,Pobreza,54.2,2429152
2016,16,Michoacán,Población en situación de pobreza moderada,Pobreza,45.9,2056516
2016,16,Michoacán,Población en situación de pobreza extrema,Pobreza,8.3,372636
2016,16,Michoacán,Población vulnerable por carencias sociales,Pobreza,27.8,1247989
2016,16,Michoacán,Población vulnerable por ingresos,Pobreza,5,222305
2016,16,Michoacán,Población no pobre y no vulnerable,Pobreza,13.1,585487
2016,16,Michoacán,Rezago educativo,Carencia social,28.4,1274977
2016,16,Michoacán,Carencia por acceso a los servicios de salud,Carencia social,22.8,1021567
2016,16,Michoacán,Carencia por acceso a la seguridad social,Carencia social,69.9,3136922
2016,16,Michoacán,Carencia por calidad y espacios de la vivienda,Carencia social,14.8,664287
2016,16,Michoacán,Carencia por acceso a los servicios básicos en la vivienda,Carencia social,24.5,1097609
2016,16,Michoacán,Carencia por acceso a la alimentación nutritiva y de calidad,Carencia social,27.8,1245557
2016,16,Michoacán,Población con al menos una carencia social,Privación social,82,3677141
2016,16,Michoacán,Población con al menos tres carencias sociales,Privación social,30.7,1378003
2016,16,Michoacán,Población con ingreso inferior a la línea de pobreza extrema por ingresos,Bienestar económico,17,762242
2016,16,Michoacán,Población con ingreso inferior a la línea de pobreza por ingresos,Bienestar económico,59.1,2651457
2016,17,Morelos,Población en situación de pobreza,Pobreza,46.7,894542
2016,17,Morelos,Población en situación de pobreza moderada,Pobreza,41.6,796864
2016,17,Morelos,Población en situación de pobreza extrema,Pobreza,5.1,97678
2016,17,Morelos,Población vulnerable por carencias sociales,Pobreza,26.3,504744
2016,17,Morelos,Población vulnerable por ingresos,Pobreza,7.1,135151
2016,17,Morelos,Población no pobre y no vulnerable,Pobreza,19.9,381342
2016,17,Morelos,Rezago educativo,Carencia social,17.5,334876
2016,17,Morelos,Carencia por acceso a los servicios de salud,Carencia social,15,288227
2016,17,Morelos,Carencia por acceso a la seguridad social,Carencia social,61.9,1185395
2016,17,Morelos,Carencia por calidad y espacios de la vivienda,Carencia social,10.9,209120
2016,17,Morelos,Carencia por acceso a los servicios básicos en la vivienda,Carencia social,17,325142
2016,17,Morelos,Carencia por acceso a la alimentación nutritiva y de calidad,Carencia social,21.6,413125
2016,17,Morelos,Población con al menos una carencia social,Privación social,73,1399286
2016,17,Morelos,Población con al menos tres carencias sociales,Privación social,18.8,361111
2016,17,Morelos,Población con ingreso inferior a la línea de pobreza extrema por ingresos,Bienestar económico,12.1,232260
2016,17,Morelos,Población con ingreso inferior a la línea de pobreza por ingresos,Bienestar económico,53.7,1029693
2016,18,Nayarit,Población en situación de pobreza,Pobreza,38.1,450039
2016,18,Nayarit,Población en situación de pobreza moderada,Pobreza,30.4,358498
2016,18,Nayarit,Población en situación de pobreza extrema,Pobreza,7.8,91541
2016,18,Nayarit,Población vulnerable por carencias sociales,Pobreza,29.5,348805
2016,18,Nayarit,Población vulnerable por ingresos,Pobreza,6.4,75968
2016,18,Nayarit,Población no pobre y no vulnerable,Pobreza,25.9,306258
2016,18,Nayarit,Rezago educativo,Carencia social,17.7,208809
2016,18,Nayarit,Carencia por acceso a los servicios de salud,Carencia social,15,177733
2016,18,Nayarit,Carencia por acceso a la seguridad social,Carencia social,56.3,664526
2016,18,Nayarit,Carencia por calidad y espacios de la vivienda,Carencia social,9.7,114172
2016,18,Nayarit,Carencia por acceso a los servicios básicos en la vivienda,Carencia social,18.2,215006
2016,18,Nayarit,Carencia por acceso a la alimentación nutritiva y de calidad,Carencia social,20.7,244654
2016,18,Nayarit,Población con al menos una carencia social,Privación social,67.6,798844
2016,18,Nayarit,Población con al menos tres carencias sociales,Privación social,18.5,218329
2016,18,Nayarit,Población con ingreso inferior a la línea de pobreza extrema por ingresos,Bienestar económico,14.9,176066
2016,18,Nayarit,Población con ingreso inferior a la línea de pobreza por ingresos,Bienestar económico,44.5,526007
2016,19,Nuevo León,Población en situación de pobreza,Pobreza,18.8,997924
2016,19,Nuevo León,Población en situación de pobreza moderada,Pobreza,17.6,931037
2016,19,Nuevo León,Población en situación de pobreza extrema,Pobreza,1.3,66887
2016,19,Nuevo León,Población vulnerable por carencias sociales,Pobreza,28,1485367
2016,19,Nuevo León,Población vulnerable por ingresos,Pobreza,9.2,488057
2016,19,Nuevo León,Población no pobre y no vulnerable,Pobreza,43.9,2325393
2016,19,Nuevo León,Rezago educativo,Carencia social,12.2,647853
2016,19,Nuevo León,Carencia por acceso a los servicios de salud,Carencia social,13.3,705722
2016,19,Nuevo León,Carencia por acceso a la seguridad social,Carencia social,31.1,1646051
2016,19,Nuevo León,Carencia por calidad y espacios de la vivienda,Carencia social,5,264019
2016,19,Nuevo León,Carencia por acceso a los servicios básicos en la vivienda,Carencia social,2.7,144624
2016,19,Nuevo León,Carencia por acceso a la alimentación nutritiva y de calidad,Carencia social,14.7,779362
2016,19,Nuevo León,Población con al menos una carencia social,Privación social,46.9,2483291
2016,19,Nuevo León,Población con al menos tres carencias sociales,Privación social,7.4,393688
2016,19,Nuevo León,Población con ingreso inferior a la línea de pobreza extrema por ingresos,Bienestar económico,4.3,227662
2016,19,Nuevo León,Población con ingreso inferior a la línea de pobreza por ingresos,Bienestar económico,28.1,1485981
2016,20,Oaxaca,Población en situación de pobreza,Pobreza,68,2660507
2016,20,Oaxaca,Población en situación de pobreza moderada,Pobreza,43.7,1711163
2016,20,Oaxaca,Población en situación de pobreza extrema,Pobreza,24.3,949344
2016,20,Oaxaca,Población vulnerable por carencias sociales,Pobreza,21.8,852830
2016,20,Oaxaca,Población vulnerable por ingresos,Pobreza,2,79737
2016,20,Oaxaca,Población no pobre y no vulnerable,Pobreza,8.2,320725
2016,20,Oaxaca,Rezago educativo,Carencia social,28.5,1115726
2016,20,Oaxaca,Carencia por acceso a los servicios de salud,Carencia social,15.9,621356
2016,20,Oaxaca,Carencia por acceso a la seguridad social,Carencia social,80.5,3149541
2016,20,Oaxaca,Carencia por calidad y espacios de la vivienda,Carencia social,26.3,1028301
2016,20,Oaxaca,Carencia por acceso a los servicios básicos en la vivienda,Carencia social,62,2425939
2016,20,Oaxaca,Carencia por acceso a la alimentación nutritiva y de calidad,Carencia social,35,1368085
2016,20,Oaxaca,Población con al menos una carencia social,Privación social,89.8,3513337
2016,20,Oaxaca,Población con al menos tres carencias sociales,Privación social,50.5,1978158
2016,20,Oaxaca,Población con ingreso inferior a la línea de pobreza extrema por ingresos,Bienestar económico,33.1,1295288
2016,20,Oaxaca,Población con ingreso inferior a la línea de pobreza por ingresos,Bienestar económico,70,2740244
2016,21,Puebla,Población en situación de pobreza,Pobreza,58.1,3674532
2016,21,Puebla,Población en situación de pobreza moderada,Pobreza,50.2,3171464
2016,21,Puebla,Población en situación de pobreza extrema,Pobreza,8,503068
